model,region,n,n_mal,roc_auc,f1@0.5,fnr@0.5,fpr@0.5,tpr@0.01,tpr@0.001,novel_tpr@0.01,singleton_tpr@0.01,known_tpr@0.01,lowcons_tpr@0.01,n_novel,n_single,fpr_at_iid_thr
gtformer_tuned,year2018,104292,39350,0.6487950804465263,0.23314300658152814,,,0.09176620076238882,,,,,,,,0.009808752425240983
gtformer_tuned,year2019,91050,41585,0.9319259009966216,0.5407720891824938,,,0.2817362029577973,,,,,,,,0.0072374406145759625
gtformer_tuned,year2020,102073,46355,0.9250282168682706,0.3794687575558703,,,0.1576744687735951,,,,,,,,0.004809935747873219
gtformer_tuned,year2021,81155,35627,0.9097339370977404,0.17885395537525356,,,0.05055154798327111,,,,,,,,0.003053066244948164
gtformer_tuned,year2022,86416,41648,0.9351303359959586,0.3729473110747918,,,0.14356031502112945,,,,,,,,0.00156361686919228
gtformer_tuned,year2023,54354,7892,0.8547824388226902,0.23670858151334656,,,0.09541307653319818,,,,,,,,0.0007748267401317205
gtformer_tuned,year2024,48427,794,0.757361794505545,0.06756756756756757,,,0.013853904282115869,,,,,,,,0.0004198769760460185
gtformer_tuned,year2025,44663,23,0.6354726702508959,0.0,,,0.0,,,,,,,,0.000492831541218638
gtformer_tuned_s1,IID,15286,6981,0.9946982266564937,0.9687700078252828,0.02463830396791289,0.03214930764599639,0.8886978942844864,0.6615098123478012,0.15384615384615385,0.645,0.904993909866017,0.8202247191011236,13.0,400.0,
gtformer_tuned_s1,NEAR,208337,66493,0.8262144179049664,0.6498647274401826,0.4906381122824959,0.027297594540481092,0.36388792805257697,0.08420435233784007,0.1781115879828326,0.12416242294291074,0.45585224274406333,0.11517921578061102,4194.0,14924.0,
gtformer_tuned_s1,FAR,612430,213274,0.8975199571162672,0.37743913910524135,0.7648283428828643,0.005862369599855696,0.312011778275833,0.10470099496422443,0.24253453190089894,0.19785336655323285,0.5944475612451335,0.1682851414353697,22805.0,131648.0,
gtformer_tuned_s1,year2013,9489,4729,0.994181396390233,0.9694176790950985,,,0.8953267075491648,,,,,,,,0.012184873949579832
gtformer_tuned_s1,year2014,5797,2252,0.9953642836206398,0.9673985362608117,,,0.8747779751332149,,,,,,,,0.006488011283497884
gtformer_tuned_s1,year2016,109193,45134,0.9390165009767614,0.8082678195432516,,,0.44148535472149597,,,,,,,,0.012160664387517757
gtformer_tuned_s1,year2017,99144,21359,0.5840799134799862,0.11947770222352008,,,0.03726766234374269,,,,,,,,0.003072571832615543
gtformer_tuned_s1,year2018,104292,39350,0.6468844343053133,0.2010430422812633,,,0.06574332909783989,,,,,,,,0.0021711681192448646
gtformer_tuned_s1,year2019,91050,41585,0.9389166590635709,0.5697611292073833,,,0.2443910063724901,,,,,,,,0.0022440109168098657
gtformer_tuned_s1,year2020,102073,46355,0.9415038266744649,0.41893378929726255,,,0.1340524215295006,,,,,,,,0.0015793818873613553
gtformer_tuned_s1,year2021,81155,35627,0.9349524453631834,0.22610071444463672,,,0.04061526370449378,,,,,,,,0.0018450184501845018
gtformer_tuned_s1,year2022,86416,41648,0.9543344043041934,0.40649848406841715,,,0.11846907414521705,,,,,,,,0.0011168691922802002
gtformer_tuned_s1,year2023,54354,7892,0.8807892126004884,0.2671009771986971,,,0.08172833248859605,,,,,,,,0.0005811200550987904
gtformer_tuned_s1,year2024,48427,794,0.7856632477716775,0.08435072142064373,,,0.013853904282115869,,,,,,,,0.00020993848802300925
gtformer_tuned_s1,year2025,44663,23,0.6061750038959016,0.0,,,0.0,,,,,,,,0.00020161290322580645
gtformer_tuned_s2,IID,15286,6981,0.9945970748331175,0.966314445783987,0.02406532015470564,0.03696568332329922,0.907319868213723,0.5984815928950007,0.15384615384615385,0.7625,0.9176309378806333,0.8498876404494382,13.0,400.0,
