model,region,metric,n,lgbm,model_value,diff,ci_lo,ci_hi
proto_plain,FAR,singleton_tpr@1%FPR,131648,0.34595284394749637,0.4837293388429752,0.13777649489547883,0.13501078633932911,0.14051105979581913
ens_gt_lgbm,NEAR,tpr@1%FPR,66493,0.5213029943001519,0.49711999759373166,-0.024182996706420268,-0.02594446031913135,-0.022122253470290086
ens_gt_lgbm,NEAR,novel_tpr@1%FPR,4194,0.30972818311874106,0.26514067715784456,-0.0445875059608965,-0.05269432522651407,-0.036480686695278985
ens_gt_lgbm,NEAR,singleton_tpr@1%FPR,14924,0.3056821227552935,0.2274859287054409,-0.07819619404985259,-0.0828866255695524,-0.07323606271777003
ens_gt_lgbm,FAR,tpr@1%FPR,213274,0.40527209130039293,0.3876843872201956,-0.01758770408019733,-0.01906467736339168,-0.016156681076924525
ens_gt_lgbm,FAR,novel_tpr@1%FPR,22805,0.29497917123437845,0.296031572023679,0.0010524007893005782,-0.003334795001096262,0.005790396842797665
ens_gt_lgbm,FAR,singleton_tpr@1%FPR,131648,0.34595284394749637,0.3061117525522606,-0.039841091395235784,-0.041664324562469615,-0.03790391802382108
ens_gttuned_lgbm,NEAR,tpr@1%FPR,66493,0.5213029943001519,0.48105815649767647,-0.04024483780247545,-0.04229054186154938,-0.03833411035748123
ens_gttuned_lgbm,NEAR,novel_tpr@1%FPR,4194,0.30972818311874106,0.26490224129709106,-0.044825941821650006,-0.053886504530281376,-0.03576537911301858
ens_gttuned_lgbm,NEAR,singleton_tpr@1%FPR,14924,0.3056821227552935,0.25160814794961134,-0.05407397480568216,-0.058498056821227586,-0.049986598767086554
ens_gttuned_lgbm,FAR,tpr@1%FPR,213274,0.40527209130039293,0.3739321248722301,-0.031339966428162835,-0.03281729137166276,-0.02991386666916733
ens_gttuned_lgbm,FAR,novel_tpr@1%FPR,22805,0.29497917123437845,0.28541986406489805,-0.009559307169480391,-0.014207410655557973,-0.004823503617627678
ens_gttuned_lgbm,FAR,singleton_tpr@1%FPR,131648,0.34595284394749637,0.2875926713660671,-0.05836017258142928,-0.060411286157024804,-0.0563846393412737
ens_gttuned_mlp_lgbm,NEAR,tpr@1%FPR,66493,0.5213029943001519,0.4670416434812687,-0.054261350818883225,-0.05653301851322691,-0.05192952641631453
ens_gttuned_mlp_lgbm,NEAR,novel_tpr@1%FPR,4194,0.30972818311874106,0.2520267048164044,-0.057701478302336684,-0.06866952789699568,-0.04768717215069146
ens_gttuned_mlp_lgbm,NEAR,singleton_tpr@1%FPR,14924,0.3056821227552935,0.20202358616992763,-0.10365853658536586,-0.10901902975073707,-0.09816068078263197
ens_gttuned_mlp_lgbm,FAR,tpr@1%FPR,213274,0.40527209130039293,0.47775631347468517,0.07248422217429223,0.07097852996614687,0.07414429325656195
ens_gttuned_mlp_lgbm,FAR,novel_tpr@1%FPR,22805,0.29497917123437845,0.3324270993203245,0.03744792808594605,0.0321859241394431,0.04279872834904626
