format,group,feature,index,mean_abs_shap,mean_shap
APK,malware,histogram[20],27,0.17848342875118958,0.06788525609729146
APK,malware,byteentropy[0],263,0.16949215099070558,0.06117697567125406
APK,malware,strings[92],611,0.16239145983207878,0.053704954366472026
APK,malware,strings[131],650,0.16168379070120642,-0.03386992532134665
APK,malware,byteentropy[68],331,0.14892337693956992,-0.010160270641871484
APK,malware,byteentropy[161],424,0.14063989441178731,0.004603729215501147
APK,malware,strings[155],674,0.12576139716264104,0.04701164148455235
APK,malware,byteentropy[177],440,0.1221330788884476,0.01648182261217975
APK,challenge,histogram[33],40,0.4275153928594702,-0.11702963079691141
APK,challenge,strings[118],637,0.3356222857230602,0.02799795118596133
APK,challenge,strings[133],652,0.2441591541419704,-0.053068209644650435
APK,challenge,histogram[20],27,0.21233750829445938,-0.09183815652453675
APK,challenge,strings[167],686,0.21201476961380633,0.014615878856522576
APK,challenge,byteentropy[52],315,0.20960915806967015,0.14332265755439733
APK,challenge,strings[165],684,0.19796726950495366,0.0330108349729558
APK,challenge,strings[162],681,0.18166438521911057,-0.031248219582850786
APK,challenge,strings[131],650,0.16950365641258355,0.009640022685300339
APK,challenge,byteentropy[161],424,0.13032745288500902,0.05723809177820691
APK,challenge,byteentropy[144],407,0.12450941731946313,-0.06485216220376183
APK,challenge,strings[92],611,0.12380267630356713,0.01111348781035181
APK,challenge,strings[122],641,0.11996792387243131,0.04074979859859562
APK,challenge,histogram[64],71,0.11876263803488749,-0.010324358272927131
APK,challenge,byteentropy[68],331,0.1129354661225047,0.06868264573627664
ELF,benign,strings[18],537,0.7159573881156504,-0.3485632231149099
ELF,benign,strings[144],663,0.5627663632843163,-0.35862077413342086
ELF,benign,strings[106],625,0.5224944839806787,-0.12647247760199443
ELF,benign,strings[66],585,0.47541585634452854,-0.2765136753430435
ELF,benign,strings[104],623,0.473657417208616,-0.18594731909920795
ELF,benign,strings[149],668,0.4398921142275999,-0.15562377429880714
ELF,benign,histogram[64],71,0.30981297918787226,-0.14219734131815046
ELF,benign,strings[1],520,0.3043916756820973,-0.16295901496003767
ELF,benign,strings[122],641,0.2660166799770332,-0.20859245924548603
ELF,benign,strings[124],643,0.259367152646297,-0.14409873119116504
ELF,benign,strings[105],624,0.2552223502734148,-0.02527838505286211
ELF,benign,strings[146],665,0.23358383498222007,-0.14620855371955555
ELF,benign,strings[100],619,0.2302409032682237,-0.041662974808446544
ELF,benign,strings[108],627,0.2150281823351305,0.03814402026543995
ELF,benign,strings[68],587,0.21360849156958853,-0.08923939232639198
